1;Vincenzo Alessandri;d. 1657;;Italy;Originally a Knight of Malta, Alessandri was captured and enslaved.[citation needed];
2;Cornelius Andreson;;1674–1675;Netherlands;He is best known for attacking English traders off Acadia and for serving in King Philip's War.;
3;Michiel Andrieszoon;17th century;1680s;Netherlands;Dutch merchant-pirate. Associated with Thomas Paine and Laurens de Graff.[citation needed];
4;John Ansell;d. 1689;;England;Sailed with Henry Morgan and participated in his raids against Maracaibo and Gibraltar, Venezuela.;
5;Jean Bart;1651–1702;1672–1697;France;Born the son of a fisherman, Bart retired an admiral in French service.;
6;Michel le Basque;17th century;1666–1668;France;Pirate and flibustier (French buccaneer) from the Kingdom of Navarre in the southwest of France. He is best known as a companion of François L'Olonnais, with whom he sacked Maracaibo and Gibraltar.;
7;John Bear;;1684–1689;England;English pirate active in the Caribbean who also served with the Spanish and French.;
8;Philippe Bequel;17th century;1650–1669;France;Was one of the first foreign privateers awarded a letter of marque by the governor of Jamaica;
9;Jacob Janssen van den Bergh;fl. 1660;1650s–1660s;Netherlands;Dutch corsair and slave trader for the Dutch West India Company.[citation needed];
10;Charlotte de Berry;17th century;1660s;England;A female pirate, she later commanded her own ship. Her story first appeared in 1836 and she may have been fictional.;
11;Lancelot Blackburne;1653–1743;1680–1684;England;Blackburne was an English clergyman, who became Archbishop of York, and – in popular belief – a pirate.;
12;Eduardo Blomar;d. 1679;1670s;Spain;Spanish renegade active in the Spanish Main during the 1670s. Tried in absentia and convicted of piracy with Bartolomé Charpes and Juan Guartem in Panama in 1679.[citation needed];
13;Pierre Bot;17th century;1680s;France;French buccaneer active in the Caribbean.[citation needed];
14;Alexandre Bras-de-Fer;17th Century;mid-17th Century;France;A flibustier (French buccaneer) in the latter half of the mid-17th century. He is best known for capturing a Spanish ship after being shipwrecked, though his story is possibly apocryphal.;
15;Roche Braziliano;17th century;1654–1671;Netherlands;Roasted two Spanish farmers alive when they refused to hand over their pigs.;
16;Nicolas Brigaut;1653–1686;1679–1686;France;French pirate and buccaneer active in the Caribbean. He was closely associated with fellow corsair Michel de Grammont.;
17;James Browne;17th Century;1676–1677;Scotland;Scottish pirate and privateer active in the Caribbean. He is best known for his hasty execution and the effects it had on colonial Jamaican government.;
18;Manuel Butiens;fl. 1645;1640s;Netherlands;Dutch renegade and Dunkirker in the service of Spain.[citation needed];
19;Jean du Casse;1646–1715;168?–1697;France;Born to Huguenot parents, du Casse was allowed to join the French navy on the value of his prizes taken while a buccaneer.;
20;Bartolomé Charpes;d. 1679;1680s;Spain;Spanish renegade who was tried in absentia and convicted of piracy with Eduardo Blomar and Juan Guartem in Panama by Governor Don Dionicio Alceda in 1679.[citation needed];
21;Jean Charpin;;1688–1689;France;"French pirate and buccaneer active in the Caribbean and off the coast of Africa. He is best known for sailing alongside Jean-Baptiste du Casse as well as for his Articles, or ""Pirate Code.""";
22;Nicholas Clough;;1682–1683;England;"Active in the Caribbean and off the coast of Africa. He is best remembered for leaving behind a well-documented Pirate Code, his ""Articles of Agreement"".";
23;Edward Collier;17th century;1668–1671;England;Served as Sir Henry Morgan's second-in-command throughout much of his expeditions against Spain during the mid-17th century.;
24;Edmund Cooke;17th Century;1673–1683;England;Merchant captain, buccaneer, and pirate. He is best known for sailing against the Spanish alongside Bartholomew Sharp, John Coxon, Basil Ringrose, Lionel Wafer, and other famous buccaneers. Cooke's flag was red-and-yellow striped and featured a hand holding a sword.;
25;John Cooke;d. 1683;1680s;England;English buccaneer who led an expedition against the Spanish in the early 1680s.[citation needed];
26;John Cornelius;;1687–?;Ireland;Irish pirate supposedly active in the Red Sea and off the west coast of Africa. He succeeded William Lewis, who was killed after announcing he'd made a pact with the Devil. Lewis and Cornelius are likely the fictional creations of Captain Charles Johnson, who presented their stories among those of real historical pirates.;
27;John Coxon;d. 1689;1677–1682;England;One of the most famous of the Brethren of the Coast, a loose consortium of pirates and privateers who were active on the Spanish Main.;
28;George Cusack;d. 1675;1668-1675;Ireland;Cruised both northern Europe and the West Indies, during and after the Anglo-Dutch Wars.;
29;William Dampier;1651–1715;1670–1688;England;Was the first person to circumnavigate the world three times.[20][21];
30;Edward Davis;17th century;1680–1688;England;Led the last major buccaneer raid against Panama.;
31;John Davis;18th century;;England;Davis was one of the earliest and most active buccaneers on Jamaica.;
32;Jacquotte Delahaye;17th century;1660s;France;Delahaye was a French Buccaneer, and together with Anne Dieu-Le-Veut was one of very few female buccaneers.;
33;Edward Dempster;17th Century;1667–1669;England;A buccaneer and privateer active in the Caribbean. He is best known for his association with Henry Morgan.;
34;Anne Dieu-Le-Veut;b. 1650;1650–1704;France;"Was originally one of the women – ""Filles de Roi"" – sent by the French government to Tortuga to become wives to the local male colonists.";
35;Cornelius Essex;d. 1680;1670s;England;"An English buccaneer who took part in Captain Bartholomew Sharp's privateering expedition, the ""Pacific Adventure"", during the late 1670s.";
36;Jacob Evertson;died 1695?;1681–1688;Netherlands;He escaped Henry Morgan and sailed with Jan Willems for several years.;
37;Alexandre Exquemelin;1645–1707;1669–16741697;France;A French writer, most known as the author of one of the most important sourcebooks of 17th century piracy, De Americaensche Zee-Roovers.;
38;Jacob Fackman;17th Century;1662–1666;England;English buccaneer and pirate active in the Caribbean. He is best known for attacking the Spanish alongside Henry Morgan, John Morris, and David Marteen.;
39;Jean Fantin;;1681-1689;France;French pirate active in the Caribbean and off the coast of Africa. He is best known for having his ship stolen by William Kidd and Robert Culliford.;
40;Philip Fitzgerald;17th Century;1672–1675;Ireland;Irish pirate and privateer who served the Spanish in the Caribbean.;
41;Jean Foccard;17th century;1680s;France;Associate of Laurens de Graaf and Michel de Grammont. He later joined them in their attack on Tampico in 1682.[citation needed];
42;Pierre Francois;17th Century;mid-17th Century;France;Mid-17th-century flibustier, or French buccaneer, active in the Caribbean. He is best known for a single attack on a Spanish pearl-diving fleet. His story appears only in Alexandre Exquemelin's History of the Buccaneers and the truth of his account is uncertain.;
